school_name,9th,10th,11th,12th
Bailey High School,77.084,76.997,77.516,76.492
Cabrera High School,83.095,83.155,82.766,83.277
Figueroa High School,76.403,76.540,76.884,77.151
Ford High School,77.361,77.672,76.918,76.180
Griffin High School,82.044,84.229,83.842,83.356
Hernandez High School,77.438,77.337,77.136,77.187
Holden High School,83.787,83.430,85.000,82.855
Huang High School,77.027,75.909,76.447,77.226
Johnson High School,77.188,76.691,77.492,76.863
Pena High School,83.625,83.372,84.328,84.122
Rodriguez High School,76.860,76.612,76.396,77.691
Shelton High School,83.421,82.917,83.383,83.779
Thomas High School,83.590,83.088,83.499,83.497
Wilson High School,83.086,83.724,83.195,83.036
Wright High School,83.265,84.010,83.837,83.645
