City,Cloudiness,Country,Date,Humidity,Lat,Lng,Max Temp,Wind Speed
ushuaia,75,AR,1555351200,53,-54.81,-68.31,51.8,23.04
acapulco,20,MX,1555350600,69,16.86,-99.88,82.4,6.93
leningradskiy,20,RU,1555353289,82,69.38,178.42,3.46,3.29
vila velha,75,BR,1555352895,62,-3.71,-38.6,84.2,12.75
hithadhoo,24,MV,1555353289,100,-0.6,73.08,84.55,6.76
clyde river,5,CA,1555351200,70,70.47,-68.59,-2.21,12.75
kenai,1,US,1555353179,64,60.55,-151.26,44.01,3.29
cape town,0,ZA,1555353093,71,-33.93,18.42,60.01,6.93
barrow,0,AR,1555353290,67,-38.31,-60.23,66.64,7.54
mataura,92,NZ,1555353009,95,-46.19,168.86,48.99,2.95
krasnorechenskiy,0,RU,1555353291,59,44.63,135.35,32.71,3.51
nome,1,US,1555353251,41,30.04,-94.42,78.01,10.29
hilo,90,US,1555353263,83,19.71,-155.08,72.0,5.82
kem,48,UG,1555353292,73,2.68,33.77,73.84,8.21
bluff,0,AU,1555353292,89,-23.58,149.07,58.81,4.85
rikitea,32,PF,1555353292,100,-23.12,-134.97,75.37,22.41
upernavik,64,GL,1555353292,90,72.79,-56.15,33.61,6.87
kahului,20,US,1555353027,57,20.89,-156.47,75.2,11.41
methoni,75,GR,1555353037,87,36.82,21.7,57.0,4.7
albany,90,US,1555353242,70,42.65,-73.75,50.0,14.99
puerto ayora,20,EC,1555353128,79,-0.74,-90.35,86.0,8.05
hobart,0,AU,1555353254,76,-42.88,147.33,57.99,6.93
coquimbo,20,CL,1555351200,82,-29.95,-71.34,60.8,16.11
vaini,0,IN,1555353295,74,15.34,74.49,74.56,3.51
mairwa,12,IN,1555353295,48,26.24,84.15,79.24,5.97
atuona,24,PF,1555353295,99,-9.8,-139.03,83.11,11.45
ugoofaaru,64,MV,1555353296,99,5.67,73.0,86.53,1.72
tabou,12,CI,1555353296,100,4.42,-7.36,84.46,10.67
maracacume,68,BR,1555353296,100,-2.04,-45.96,80.41,4.41
ternate,20,PH,1555353187,74,14.29,120.72,84.99,4.7
dhidhdhoo,0,MV,1555353297,100,6.88,73.1,86.62,3.06
oktyabrskiy,0,RU,1555352779,35,55.61,37.97,46.0,6.71
punta arenas,90,CL,1555352547,81,-53.16,-70.91,48.2,26.4
kapaa,1,US,1555353202,53,22.08,-159.32,75.99,20.8
ilhabela,8,BR,1555353298,100,-23.78,-45.36,78.16,8.66
victoria,75,BN,1555351200,88,5.28,115.24,80.6,7.99
saskylakh,48,RU,1555353299,61,71.97,114.09,-3.03,1.5
martinopolis,20,BR,1555353299,62,-22.15,-51.17,85.99,5.41
hervey bay,76,AU,1555353010,88,-25.3,152.85,66.0,8.05
tasiilaq,90,GL,1555350600,86,65.61,-37.64,37.4,10.29
ponta do sol,76,BR,1555353300,98,-20.63,-46.0,70.78,6.76
jamestown,0,AU,1555353301,48,-33.21,138.6,59.98,6.87
saint-philippe,90,CA,1555353300,87,45.36,-73.48,44.01,12.75
huarmey,8,PE,1555353302,58,-10.07,-78.15,78.79,4.18
